state,porp
AK,0.0784313725490196
AL,0.0392156862745098
AR,0.058823529411764705
AZ,0.0784313725490196
CA,0.23529411764705882
CO,0.0196078431372549
CT,0.1568627450980392
DE,0.0196078431372549
FL,0.0784313725490196
GA,0.1568627450980392
HI,0.0784313725490196
IA,0.17647058823529413
ID,0.0784313725490196
IL,0.6470588235294118
IN,0.1568627450980392
KS,0.0196078431372549
KY,0.1568627450980392
LA,0.0392156862745098
MA,0.17647058823529413
MD,0.21568627450980393
MI,0.0392156862745098
MN,0.39215686274509803
MO,0.27450980392156865
MS,1
MT,0.058823529411764705
NC,0.29411764705882354
ND,0.0392156862745098
NE,0.19607843137254902
NH,0.0784313725490196
NJ,0.27450980392156865
NM,0.13725490196078433
NV,0.0196078431372549
NY,0.13725490196078433
OH,0.0196078431372549
OK,0.0392156862745098
OR,0.0784313725490196
PA,0.11764705882352941
RI,0.0784313725490196
SC,0.13725490196078433
SD,0.0392156862745098
TN,0.47058823529411764
TX,0.43137254901960786
US,0.2549019607843137
UT,0.09803921568627451
VA,0.5686274509803921
WA,0.2549019607843137
WI,0.0784313725490196
WV,0.13725490196078433
